; タケシカスミマチスエリカキョウナツメカツラ－－－ポケモンバッジ●
 ifn  pm_jmsg
	db	000h,000h,07Ah,07Ah,04Bh,04Bh,07Ah,07Ah	; 0
	db	048h,048h,008h,008h,011h,011h,000h,000h
	db	000h,000h,00Ch,00Ch,0E1h,0E1h,04Dh,04Dh	; 1
	db	041h,041h,041h,041h,08Eh,08Eh,000h,000h
	db	000h,000h,043h,043h,0F8h,0F8h,048h,048h	; 2
	db	048h,048h,049h,049h,09Ah,09Ah,000h,000h
	db	000h,000h,0DEh,0DEh,040h,040h,04Ch,04Ch	; 3
	db	080h,080h,098h,098h,046h,046h,000h,000h
	db	000h,000h,0F8h,0F8h,00Bh,00Bh,008h,008h	; 4
	db	053h,053h,020h,020h,011h,011h,000h,000h
	db	000h,000h,04Fh,04Fh,081h,081h,081h,081h	; 5
	db	0E2h,0E2h,086h,086h,009h,009h,000h,000h
	db	000h,000h,002h,002h,0FAh,0FAh,022h,022h	; 6
	db	020h,020h,020h,020h,0F9h,0F9h,000h,000h
	db	000h,000h,048h,048h,05Fh,05Fh,049h,049h	; 7
	db	049h,049h,049h,049h,093h,093h,000h,000h
	db	000h,000h,020h,020h,0FBh,0FBh,020h,020h	; 8
	db	0FBh,0FBh,020h,020h,023h,023h,000h,000h
	db	000h,000h,008h,008h,0BEh,0BEh,0A2h,0A2h	; 9
	db	082h,082h,082h,082h,08Ch,08Ch,000h,000h
	db	000h,000h,020h,020h,0FAh,0FAh,022h,022h	; a
	db	020h,020h,020h,020h,0C1h,0C1h,000h,000h
	db	000h,000h,002h,002h,0AAh,0AAh,0A6h,0A6h	; b
	db	022h,022h,045h,045h,088h,088h,000h,000h
	db	000h,000h,040h,040h,0FAh,0FAh,04Ah,04Ah	; c
	db	048h,048h,048h,048h,099h,099h,000h,000h
	db	000h,000h,00Fh,00Fh,0A0h,0A0h,0AFh,0AFh	; d
	db	021h,021h,041h,041h,08Eh,08Eh,000h,000h
	db	000h,000h,000h,000h,000h,000h,07Bh,07Bh	; e
	db	000h,000h,000h,000h,000h,000h,000h,000h
	db	000h,000h,000h,000h,000h,000h,0DEh,0DEh	; f
	db	000h,000h,000h,000h,000h,000h,000h,000h
