; Map size	X = 10  Y = 9
; Page size	PX = 4  PY = 4
	db	00ah,00ah,021h,00fh,06dh,00ah,00ah,00ah,04dh,026h,001h,027h,04eh,00ah,00ah,00ah,00ah,00ah,00ah,00ah
	db	00ah,00ah,021h,00fh,032h,00fh,00fh,00fh,04fh,05eh,001h,05fh,050h,056h,056h,056h,056h,00ah,00ah,00ah
	db	00ah,00ah,021h,00ah,008h,002h,005h,00ah,008h,001h,001h,001h,020h,001h,001h,04ch,001h,020h,00ah,00ah
	db	00ah,00ah,021h,001h,001h,001h,001h,001h,001h,001h,001h,001h,020h,001h,046h,022h,047h,020h,00ah,00ah
	db	00ah,00ah,021h,001h,00ah,00ah,00ah,001h,001h,032h,00fh,001h,001h,001h,026h,001h,027h,020h,00ah,00ah
	db	00ah,00ah,021h,001h,038h,039h,00ah,001h,001h,032h,00fh,001h,001h,001h,026h,001h,027h,020h,00ah,00ah
	db	00ah,00ah,021h,001h,03ch,03dh,008h,001h,001h,001h,001h,001h,001h,001h,044h,023h,045h,020h,00ah,00ah
	db	00ah,00ah,021h,001h,001h,001h,001h,001h,001h,008h,002h,007h,001h,008h,056h,056h,056h,020h,00ah,00ah
	db	00ah,00ah,04dh,001h,00ch,00dh,00eh,001h,001h,001h,001h,001h,001h,001h,058h,022h,047h,04eh,00ah,00ah
	db	00ah,00ah,04dh,001h,010h,011h,012h,001h,001h,001h,00ah,002h,003h,001h,001h,001h,027h,04eh,00ah,00ah
	db	00ah,00ah,04dh,001h,001h,001h,008h,001h,001h,001h,008h,001h,001h,008h,05ch,001h,027h,050h,052h,052h
	db	052h,052h,04fh,052h,052h,052h,052h,052h,04fh,001h,050h,052h,052h,052h,026h,001h,04bh,022h,022h,022h
	db	013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,026h,001h,001h,001h,001h,001h
	db	013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,044h,023h,023h,023h,023h,023h
	db	013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,051h,051h,051h,051h,051h,051h
	db	013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,01fh,01fh,01fh,01fh,01fh,01fh
	db	013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,043h,043h,043h,043h,043h,043h
	db	013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,013h,043h,043h,043h,043h,043h,043h

