	db	03eh,00ch,024h,030h,030h,030h,030h,030h	;0000
	db	025h,00ch,03fh,03fh,03fh,03fh,03fh,03fh
	db	03fh,03fh,03fh,03fh,03fh,03fh,03fh,03fh	;0001
	db	03fh,03eh,00ch,024h,030h,030h,030h,030h
	db	030h,025h,00ch,00ch,00ch,00ch,00ch,00ch	;0002
	db	00ch,00ch,00ch,00ch,00ch,00ch,00ch,00ch
	db	00ch,00ch,03eh,00ch,024h,030h,030h,030h	;0003
	db	030h,030h,025h,00ch,00ch,00ch,037h,00ch
	db	037h,037h,037h,00ch,00ch,00ch,00ch,00ch	;0004
	db	00ch,00ch,00ch,03eh,00ch,024h,030h,030h
	db	030h,030h,030h,02fh,026h,026h,026h,037h	;0005
	db	026h,037h,026h,037h,026h,026h,026h,026h
	db	026h,026h,026h,026h,03eh,00ch,024h,031h	;0006
	db	031h,031h,031h,031h,031h,031h,031h,031h
	db	037h,031h,037h,037h,037h,031h,031h,031h	;0007
	db	031h,031h,031h,031h,031h,03eh,00ch,028h
	db	027h,027h,027h,027h,027h,027h,027h,027h	;0008
	db	027h,037h,027h,037h,027h,037h,027h,027h
	db	027h,027h,027h,027h,027h,027h,03eh,00ch	;0009
	db	00ch,00ch,00ch,00ch,00ch,00ch,00ch,00ch
	db	00ch,00ch,037h,00ch,037h,037h,037h,00ch	;000a
	db	00ch,00ch,00ch,00ch,00ch,00ch,00ch,03eh
	db	00ch,00ch,00ch,00ch,022h,00ch,00ch,00ch	;000b
	db	00ch,00ch,00ch,00ch,00ch,00ch,00ch,00ch
	db	00ch,00ch,022h,00ch,00ch,00ch,00ch,00ch	;000c
	db	032h,040h,040h,040h,040h,040h,040h,040h
	db	040h,040h,040h,040h,040h,040h,040h,040h	;000d
	db	040h,040h,040h,040h,040h,040h,040h,040h
	db	040h
