; Map size	X = 10  Y = 9
; Page size	PX = 2  PY = 8
	db	032h,032h,032h,00ch,00ch,032h,032h,032h,032h,032h
	db	032h,032h,037h,037h,037h,00fh,032h,032h,032h,032h
	db	032h,032h,037h,032h,032h,00fh,00fh,00fh,032h,032h
	db	032h,032h,037h,032h,032h,032h,019h,019h,019h,019h
	db	032h,032h,037h,037h,037h,037h,019h,019h,019h,019h
	db	032h,032h,037h,037h,037h,037h,019h,019h,019h,019h
	db	032h,032h,037h,037h,037h,037h,019h,019h,019h,019h
	db	032h,032h,037h,037h,037h,037h,019h,019h,019h,019h
	db	032h,032h,037h,037h,037h,037h,019h,019h,019h,019h
	db	032h,032h,032h,032h,032h,035h,018h,018h,018h,018h
	db	032h,032h,032h,032h,032h,035h,018h,038h,018h,018h
	db	032h,032h,032h,032h,032h,035h,00ch,00ch,00ch,032h
	db	032h,032h,00fh,00fh,00fh,00fh,00fh,00fh,00fh,032h
	db	032h,032h,00fh,032h,032h,032h,032h,00fh,032h,032h
	db	032h,032h,00fh,00fh,00fh,00fh,00fh,00fh,032h,032h
	db	032h,032h,00fh,00fh,00fh,00fh,00fh,00fh,032h,032h
	db	032h,032h,00fh,00fh,00fh,00fh,00fh,00fh,032h,032h
	db	032h,032h,00fh,00fh,00fh,00fh,00fh,00fh,032h,032h
	db	032h,032h,00fh,00fh,00fh,00fh,00fh,00fh,032h,032h
	db	032h,032h,00fh,00fh,00fh,00fh,00fh,00fh,032h,032h
	db	032h,032h,00fh,00fh,00fh,00fh,00fh,00fh,032h,032h
	db	032h,032h,032h,032h,022h,032h,032h,032h,032h,032h
	db	032h,032h,032h,032h,00ch,032h,032h,032h,032h,032h
	db	032h,037h,00ch,00ch,00ch,00fh,00fh,00fh,032h,032h
	db	032h,037h,032h,037h,032h,032h,032h,00fh,032h,032h
	db	032h,037h,032h,00fh,00fh,00fh,00fh,00fh,032h,032h
	db	032h,037h,032h,00fh,032h,037h,032h,032h,032h,032h
	db	032h,023h,00fh,00fh,00fh,00fh,032h,037h,032h,032h
	db	032h,032h,032h,032h,032h,00fh,022h,037h,032h,032h
	db	032h,037h,037h,00fh,00fh,00fh,032h,037h,032h,032h
	db	032h,032h,032h,035h,036h,032h,032h,032h,032h,032h
	db	032h,032h,00fh,00fh,00fh,00fh,00fh,00fh,032h,032h
	db	042h,042h,05ah,010h,011h,05ah,042h,042h,048h,043h
	db	041h,041h,053h,010h,011h,053h,041h,041h,041h,041h
	db	032h,032h,00fh,00fh,00fh,00fh,00fh,00fh,032h,032h
	db	032h,032h,032h,035h,036h,032h,032h,032h,032h,032h
