	db	001h,001h,001h,001h,001h,001h,001h,001h	; 0
	db	001h,001h,001h,001h,001h,001h,001h,001h
	db	002h,003h,026h,027h,012h,013h,036h,037h	; 1
	db	002h,003h,02Ch,02Ah,012h,013h,03Ch,03Ah
	db	028h,029h,002h,003h,038h,039h,012h,013h	; 2
	db	02Ah,02Bh,002h,003h,03Ah,03Bh,012h,013h
	db	000h,000h,000h,000h,000h,000h,000h,000h	; 3
	db	001h,001h,001h,001h,001h,001h,001h,001h
	db	005h,015h,005h,015h,030h,031h,030h,031h	; 4
	db	022h,023h,022h,023h,032h,033h,032h,033h
	db	000h,000h,024h,025h,000h,000h,034h,035h	; 5
	db	001h,001h,008h,009h,001h,001h,018h,019h
	db	001h,001h,00Eh,00Fh,001h,001h,01Eh,01Fh	; 6
	db	001h,001h,020h,021h,001h,001h,020h,021h
	db	000h,000h,024h,025h,000h,000h,034h,035h	; 7
	db	001h,001h,00Ch,00Dh,001h,001h,01Ch,01Dh
	db	000h,000h,024h,025h,000h,000h,034h,035h	; 8
	db	001h,001h,00Ah,00Bh,001h,001h,01Ah,01Bh
	db	000h,000h,024h,025h,000h,000h,034h,035h	; 9
	db	006h,007h,008h,009h,016h,017h,018h,019h
	db	010h,010h,010h,010h,010h,010h,010h,010h	; a
	db	010h,010h,010h,010h,010h,010h,010h,010h
	db	001h,001h,001h,001h,001h,001h,001h,001h	; b
	db	004h,004h,004h,004h,014h,014h,014h,014h
	db	02Dh,02Eh,001h,001h,03Dh,03Eh,001h,001h	; c
	db	03Dh,03Eh,001h,001h,03Fh,02Fh,001h,001h
	db	02Dh,02Eh,02Dh,02Eh,03Dh,03Eh,03Dh,03Eh	; d
	db	03Dh,03Eh,03Dh,03Eh,03Fh,02Fh,03Fh,02Fh
