	db	004h,005h,000h,000h,014h,015h,000h,000h	;0000
	db	014h,015h,001h,011h,014h,015h,011h,001h
	db	000h,000h,004h,005h,000h,000h,014h,015h	;0001
	db	001h,011h,00ah,00bh,011h,001h,01ah,01bh
	db	006h,007h,006h,007h,016h,017h,016h,017h	;0002
	db	001h,011h,001h,011h,011h,001h,011h,001h
	db	001h,011h,001h,011h,011h,001h,011h,001h	;0003
	db	001h,011h,001h,011h,011h,001h,011h,001h
	db	014h,015h,008h,009h,022h,023h,018h,019h	;0004
	db	001h,011h,001h,011h,011h,001h,011h,001h
	db	008h,009h,014h,015h,018h,019h,022h,023h	;0005
	db	001h,011h,001h,011h,011h,001h,011h,001h
	db	001h,011h,001h,011h,011h,001h,011h,001h	;0006
	db	00ch,00dh,00eh,00fh,01ch,01dh,01eh,01fh
	db	002h,003h,002h,003h,012h,013h,012h,013h	;0007
	db	020h,021h,020h,021h,030h,031h,030h,031h
	db	001h,011h,001h,011h,011h,001h,011h,001h	;0008
	db	002h,003h,002h,003h,012h,013h,012h,013h
	db	020h,021h,020h,021h,030h,031h,030h,031h	;0009
	db	001h,011h,001h,011h,011h,001h,011h,001h
	db	010h,010h,010h,010h,010h,010h,010h,010h	;000a
	db	010h,010h,010h,010h,010h,010h,010h,010h
	db	008h,009h,008h,009h,018h,019h,018h,019h	;000b
	db	001h,011h,001h,011h,011h,001h,011h,001h
	db	000h,000h,000h,000h,000h,000h,000h,000h	;000c
	db	001h,011h,001h,011h,011h,001h,011h,001h
	db	0c4h,0c5h,0c6h,0c7h,0d4h,0d5h,0d6h,0d7h	;000d
	db	0e4h,0e5h,0e6h,0e7h,0f4h,0f5h,0f6h,0f7h
	db	0c8h,0c9h,0cah,0cbh,0d8h,0d9h,0dah,0dbh	;000e
	db	0e8h,0e9h,0eah,0ebh,0f8h,0f9h,0fah,0fbh
	db	0cch,0cdh,0ceh,0cfh,0dch,0ddh,0deh,0dfh	;000f
	db	0ech,0edh,0eeh,0efh,0fch,0fdh,0feh,0ffh
	db	000h,000h,000h,000h,000h,000h,000h,000h	;0010
	db	000h,000h,000h,000h,000h,000h,000h,000h
