; 11/28/95		14:29:18
mons001$:
	db	001			; old number = 153
	db	045			; hit point(max)
	db	049			; attack point
	db	049			; defence ratio
	db	045			; quick ratio
	db	065			; special ability
	db	KUSA_TYPE
	db	POISON_TYPE
	db	045			; obtain ratio
	db	064			; experience value
	db	055h			; Monster yx size
	dw	monschr153		; BitImage data (front)
	dw	monschr153b		; BitImage data (back)
	db	033			; skill 1
	db	045			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10100100b, 00000011b, 00111000b, 11000000b
	db	00000011b, 00001000b, 00000110b, 00000000b

mons002$:
	db	002			; old number = 009
	db	060			; hit point(max)
	db	062			; attack point
	db	063			; defence ratio
	db	060			; quick ratio
	db	080			; special ability
	db	KUSA_TYPE
	db	POISON_TYPE
	db	045			; obtain ratio
	db	141			; experience value
	db	066h			; Monster yx size
	dw	monschr09		; BitImage data (front)
	dw	monschr09b		; BitImage data (back)
	db	033			; skill 1
	db	045			; skill 2
	db	073			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10100100b, 00000011b, 00111000b, 11000000b
	db	00000011b, 00001000b, 00000110b, 00000000b

mons003$:
	db	003			; old number = 154
	db	080			; hit point(max)
	db	082			; attack point
	db	083			; defence ratio
	db	080			; quick ratio
	db	100			; special ability
	db	KUSA_TYPE
	db	POISON_TYPE
	db	045			; obtain ratio
	db	208			; experience value
	db	077h			; Monster yx size
	dw	monschr154		; BitImage data (front)
	dw	monschr154b		; BitImage data (back)
	db	033			; skill 1
	db	045			; skill 2
	db	073			; skill 3
	db	022			; skill 4
	db	003			; pttern of experience
	db	10100100b, 01000011b, 00111000b, 11000000b
	db	00000011b, 00001000b, 00000110b, 00000000b

mons004$:
	db	004			; old number = 176
	db	039			; hit point(max)
	db	052			; attack point
	db	043			; defence ratio
	db	065			; quick ratio
	db	050			; special ability
	db	FIRE_TYPE
	db	FIRE_TYPE
	db	045			; obtain ratio
	db	065			; experience value
	db	055h			; Monster yx size
	dw	monschr176		; BitImage data (front)
	dw	monschr176b		; BitImage data (back)
	db	010			; skill 1
	db	045			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110101b, 00000011b, 01001111b, 11001000b
	db	11100011b, 00001000b, 00100110b, 00000000b

mons005$:
	db	005			; old number = 178
	db	058			; hit point(max)
	db	064			; attack point
	db	058			; defence ratio
	db	080			; quick ratio
	db	065			; special ability
	db	FIRE_TYPE
	db	FIRE_TYPE
	db	045			; obtain ratio
	db	142			; experience value
	db	066h			; Monster yx size
	dw	monschr178		; BitImage data (front)
	dw	monschr178b		; BitImage data (back)
	db	010			; skill 1
	db	045			; skill 2
	db	052			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110101b, 00000011b, 01001111b, 11001000b
	db	11100011b, 00001000b, 00100110b, 00000000b

mons006$:
	db	006			; old number = 180
	db	078			; hit point(max)
	db	084			; attack point
	db	078			; defence ratio
	db	100			; quick ratio
	db	085			; special ability
	db	FIRE_TYPE
	db	HIKOU_TYPE
	db	045			; obtain ratio
	db	209			; experience value
	db	077h			; Monster yx size
	dw	monschr180		; BitImage data (front)
	dw	monschr180b		; BitImage data (back)
	db	010			; skill 1
	db	045			; skill 2
	db	052			; skill 3
	db	043			; skill 4
	db	003			; pttern of experience
	db	10110101b, 01000011b, 01001111b, 11001110b
	db	11100011b, 00001000b, 00100110b, 00000000b

mons007$:
	db	007			; old number = 177
	db	044			; hit point(max)
	db	048			; attack point
	db	065			; defence ratio
	db	043			; quick ratio
	db	050			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	045			; obtain ratio
	db	066			; experience value
	db	055h			; Monster yx size
	dw	monschr177		; BitImage data (front)
	dw	monschr177b		; BitImage data (back)
	db	033			; skill 1
	db	039			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110001b, 00111111b, 00001111b, 11001000b
	db	10000011b, 00001000b, 00110010b, 00000000b

mons008$:
	db	008			; old number = 179
	db	059			; hit point(max)
	db	063			; attack point
	db	080			; defence ratio
	db	058			; quick ratio
	db	065			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	045			; obtain ratio
	db	143			; experience value
	db	066h			; Monster yx size
	dw	monschr179		; BitImage data (front)
	dw	monschr179b		; BitImage data (back)
	db	033			; skill 1
	db	039			; skill 2
	db	145			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110001b, 00111111b, 00001111b, 11001000b
	db	10000011b, 00001000b, 00110010b, 00000000b

mons009$:
	db	009			; old number = 028
	db	079			; hit point(max)
	db	083			; attack point
	db	100			; defence ratio
	db	078			; quick ratio
	db	085			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	045			; obtain ratio
	db	210			; experience value
	db	077h			; Monster yx size
	dw	monschr28		; BitImage data (front)
	dw	monschr28b		; BitImage data (back)
	db	033			; skill 1
	db	039			; skill 2
	db	145			; skill 3
	db	055			; skill 4
	db	003			; pttern of experience
	db	10110001b, 01111111b, 00001111b, 11001110b
	db	10000011b, 00001000b, 00110010b, 00000000b

mons010$:
	db	010			; old number = 123
	db	045			; hit point(max)
	db	030			; attack point
	db	035			; defence ratio
	db	045			; quick ratio
	db	020			; special ability
	db	MUSHI_TYPE
	db	MUSHI_TYPE
	db	255			; obtain ratio
	db	053			; experience value
	db	055h			; Monster yx size
	dw	monschr123		; BitImage data (front)
	dw	monschr123b		; BitImage data (back)
	db	033			; skill 1
	db	081			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00000000b, 00000000b, 00000000b, 00000000b
	db	00000000b, 00000000b, 00000000b, 00000000b

mons011$:
	db	011			; old number = 124
	db	050			; hit point(max)
	db	020			; attack point
	db	055			; defence ratio
	db	030			; quick ratio
	db	025			; special ability
	db	MUSHI_TYPE
	db	MUSHI_TYPE
	db	120			; obtain ratio
	db	072			; experience value
	db	055h			; Monster yx size
	dw	monschr124		; BitImage data (front)
