; Map size	X = 10  Y = 9
; Page size	PX = 6  PY = 2
	db	01ah,01ah,01ah,019h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,013h,043h,043h,043h,043h,043h,043h,043h,043h,043h,043h,043h,043h,043h,043h
	db	004h,06bh,06bh,015h,001h,001h,052h,052h,052h,052h,052h,052h,052h,052h,052h,013h,06bh,06bh,06bh,06bh,06bh,06bh,06bh,06bh,06bh,06bh,06bh,06bh,06bh,06bh
	db	015h,046h,022h,013h,013h,013h,013h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h,022h
	db	022h,04ah,001h,063h,013h,013h,062h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h
	db	001h,001h,001h,04dh,013h,013h,04eh,001h,00fh,00fh,00fh,032h,013h,013h,060h,00fh,00fh,032h,013h,013h,060h,00fh,00fh,032h,013h,013h,060h,00fh,00fh,032h
	db	001h,001h,008h,04fh,013h,013h,050h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h
	db	023h,023h,023h,013h,013h,013h,013h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h,023h
	db	051h,051h,051h,063h,001h,001h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h
	db	001h,001h,001h,04dh,001h,001h,001h,001h,001h,001h,001h,001h,001h,07eh,07dh,07dh,07dh,07dh,07dh,07dh,07dh,07dh,07dh,07dh,07dh,07dh,07dh,07dh,07dh,07dh

