; Map size	X = 10  Y = 9
; Page size	PX = 2  PY = 16
	db	00ah,00ah,04dh,026h,001h,001h,001h,027h,04eh,00ah
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,00ah,04dh,009h,001h,001h,001h,009h,04eh,00ah
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,00ah,04dh,026h,001h,001h,001h,027h,04eh,00ah
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,009h,001h,001h,001h,009h,04eh,001h
	db	00ah,00ah,04dh,026h,001h,001h,001h,027h,04eh,00ah
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,001h
	db	00ah,00ah,04dh,026h,001h,001h,001h,027h,04eh,056h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,07eh
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,07eh
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,07eh
	db	00ah,001h,04dh,009h,001h,001h,001h,009h,04eh,07eh
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,07eh
	db	00ah,00ah,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	00ah,00ah,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	00ah,021h,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	00ah,021h,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	021h,07dh,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	021h,07dh,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	021h,07dh,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	021h,07dh,019h,026h,001h,001h,001h,027h,04eh,01ah
	db	021h,07dh,019h,026h,001h,001h,001h,027h,04eh,01ah
	db	021h,01ah,019h,026h,001h,001h,001h,027h,04eh,01ah
	db	021h,01ah,019h,026h,001h,001h,001h,027h,04eh,01ah
	db	021h,056h,019h,026h,001h,001h,001h,027h,04eh,01ah
	db	00ah,00ah,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,056h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,00ah
	db	00ah,00ah,04dh,026h,001h,001h,001h,027h,04eh,00ah
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,00ah
	db	00ah,001h,04dh,009h,001h,001h,001h,009h,04eh,00ah
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,00ah
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,056h
	db	00ah,001h,04dh,026h,001h,001h,001h,027h,04eh,07eh
	db	00ah,00ah,04dh,026h,001h,001h,001h,027h,04eh,07eh
	db	00ah,00ah,04dh,026h,001h,001h,001h,027h,04eh,07eh
	db	056h,056h,04dh,026h,001h,001h,001h,027h,04eh,07eh
	db	00ah,07eh,04dh,026h,001h,001h,001h,027h,04eh,07eh
	db	00ah,07eh,04dh,026h,001h,001h,001h,027h,04eh,01ah
	db	07dh,07eh,04dh,026h,001h,001h,001h,027h,018h,01ah
	db	07dh,07eh,04dh,026h,001h,001h,001h,027h,018h,01ah
	db	07dh,07eh,019h,009h,001h,001h,001h,009h,018h,01ah
	db	07dh,01ah,019h,026h,001h,001h,001h,027h,018h,01ah
	db	07dh,01ah,019h,026h,001h,001h,001h,027h,018h,01ah
	db	01ah,01ah,019h,026h,001h,001h,001h,027h,018h,01ah
	db	013h,06bh,015h,026h,001h,001h,001h,027h,018h,01ah
	db	04dh,001h,001h,026h,001h,001h,001h,027h,018h,01ah
	db	04dh,001h,001h,026h,001h,001h,001h,027h,018h,01ah
	db	04dh,001h,001h,026h,001h,001h,001h,027h,018h,01ah
	db	04dh,001h,001h,026h,001h,001h,001h,027h,018h,01ah
	db	04dh,001h,001h,026h,001h,001h,001h,027h,018h,01ah
	db	013h,051h,063h,026h,001h,001h,001h,027h,018h,01ah

