; Map size	X = 10  Y = 9
; Page size	PX = 2  PY = 6
	db	051h,051h,063h,026h,001h,001h,027h,062h,051h,051h
	db	001h,001h,04dh,026h,001h,001h,027h,04eh,001h,001h
	db	051h,051h,063h,026h,001h,001h,027h,062h,051h,051h
	db	001h,001h,04dh,026h,001h,001h,027h,04eh,001h,001h
	db	001h,001h,04dh,05eh,001h,001h,05fh,04eh,001h,001h
	db	001h,001h,04dh,054h,054h,054h,054h,04eh,07dh,07dh
	db	001h,001h,04dh,054h,054h,054h,054h,04eh,07dh,07dh
	db	001h,001h,04dh,054h,054h,054h,054h,082h,07dh,07dh
	db	001h,001h,082h,054h,054h,054h,054h,082h,07dh,07dh


