; Map size	X = 10  Y = 9
; Page size	PX = 5  PY = 4
	db	062h,051h,051h,00ch,00dh,00dh,00eh,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,051h,063h
	db	04eh,00fh,06fh,010h,011h,011h,012h,06fh,06fh,06fh,06fh,06fh,06fh,06fh,06fh,06fh,06fh,06fh,06fh,06fh,06fh,06fh,06fh,00fh,04dh
	db	04eh,06eh,001h,00ch,00dh,00dh,00eh,062h,051h,063h,00ch,00dh,00eh,001h,001h,04dh,00ah,00ah,00ah,00ah,00ah,04eh,001h,06dh,04dh
	db	04eh,06eh,001h,010h,011h,011h,012h,04eh,001h,04dh,010h,011h,012h,001h,001h,04dh,00ah,00ch,00dh,00eh,00ah,04eh,001h,06dh,04dh
	db	04eh,06eh,001h,00ch,00dh,00dh,00eh,050h,001h,04fh,010h,011h,012h,001h,001h,04dh,00ah,010h,011h,012h,008h,04eh,001h,00fh,00fh
	db	04eh,06eh,001h,010h,011h,011h,012h,001h,001h,001h,001h,001h,001h,001h,001h,04dh,00ah,001h,001h,001h,001h,04eh,008h,058h,022h
	db	04eh,06eh,001h,00ch,00dh,00dh,00eh,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h
	db	00fh,00fh,001h,010h,011h,011h,012h,001h,001h,001h,016h,071h,017h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h
	db	022h,05ah,001h,001h,001h,001h,001h,001h,001h,001h,030h,001h,019h,001h,00ah,00ah,00ah,001h,001h,00ah,00ah,00ah,008h,059h,023h
	db	001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,014h,01fh,006h,001h,00ah,001h,001h,001h,001h,001h,001h,00ah,001h,00fh,00fh
	db	023h,05bh,008h,052h,001h,052h,052h,052h,052h,001h,001h,001h,001h,001h,00ah,001h,001h,038h,039h,001h,001h,00ah,001h,06dh,04dh
	db	00fh,00fh,001h,04eh,001h,001h,001h,001h,04dh,001h,062h,051h,063h,001h,00ah,001h,001h,03ch,03dh,001h,001h,00ah,001h,06dh,04dh
	db	04eh,06eh,001h,04eh,00ch,00dh,00eh,001h,04dh,001h,04eh,001h,04dh,001h,00ah,001h,001h,001h,001h,001h,001h,00ah,001h,06dh,04dh
	db	04eh,06eh,001h,04eh,010h,011h,012h,001h,04dh,001h,050h,001h,04fh,001h,00ah,00ah,00ah,001h,001h,00ah,00ah,00ah,001h,06dh,04dh
	db	04eh,06eh,001h,050h,001h,001h,001h,008h,04fh,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,06dh,04dh
	db	04eh,06eh,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,06dh,04dh
	db	04eh,00fh,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,06ch,00fh,04dh
	db	050h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,052h,04fh

