; Map size	X = 10  Y = 9
; Page size	PX = 4  PY = 4
	db	00fh,00fh,00fh,00fh,00fh,052h,052h,04fh,026h,001h,001h,027h,050h,00fh,00fh,00ch,00dh,00eh,00fh,00fh
	db	00fh,00fh,00fh,038h,039h,001h,001h,04dh,05eh,001h,001h,05fh,04eh,002h,003h,010h,011h,012h,00fh,00fh
	db	00fh,00fh,008h,03ch,03dh,055h,001h,063h,008h,001h,001h,008h,062h,001h,008h,001h,001h,021h,00fh,00fh
	db	00fh,00fh,020h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,021h,00fh,00fh
	db	00fh,00fh,020h,001h,001h,01dh,01fh,01fh,01fh,04eh,04dh,01fh,01fh,01fh,01eh,001h,001h,021h,00fh,00fh
	db	00fh,00fh,020h,001h,001h,065h,013h,013h,013h,013h,013h,013h,013h,013h,064h,001h,001h,021h,00fh,00fh
	db	04fh,052h,050h,001h,001h,065h,013h,013h,013h,013h,013h,013h,013h,013h,064h,001h,001h,04fh,052h,050h
	db	022h,05ah,008h,001h,001h,065h,013h,013h,013h,013h,013h,013h,013h,013h,064h,001h,001h,008h,058h,022h
	db	001h,001h,001h,001h,001h,051h,013h,013h,013h,013h,013h,013h,013h,013h,051h,001h,001h,001h,001h,001h
	db	001h,001h,001h,001h,001h,052h,013h,013h,013h,013h,013h,013h,013h,013h,052h,001h,001h,001h,001h,001h
	db	023h,05bh,008h,001h,001h,01dh,013h,013h,013h,013h,013h,013h,013h,013h,01eh,001h,001h,008h,059h,023h
	db	063h,051h,062h,001h,001h,065h,013h,013h,013h,013h,013h,013h,013h,013h,064h,001h,001h,063h,051h,062h
	db	00fh,00fh,020h,001h,00fh,065h,01fh,01fh,01fh,04eh,04dh,01fh,01fh,01fh,064h,00fh,001h,021h,00fh,00fh
	db	00fh,00fh,020h,001h,002h,005h,00fh,001h,001h,001h,001h,001h,001h,00fh,038h,039h,001h,021h,00fh,00fh
	db	00fh,00fh,020h,001h,001h,001h,001h,001h,001h,001h,001h,001h,001h,008h,03ch,03dh,001h,021h,00fh,00fh
	db	00fh,00fh,020h,001h,001h,001h,001h,04fh,008h,001h,001h,008h,050h,001h,001h,001h,001h,021h,00fh,00fh
	db	00fh,00fh,00ah,055h,055h,055h,055h,04dh,05ch,05ch,001h,05dh,04eh,055h,055h,055h,055h,001h,00fh,00fh
	db	00fh,00fh,00fh,00fh,00fh,00fh,00fh,063h,026h,001h,001h,027h,062h,00fh,00fh,00fh,00fh,00fh,00fh,00fh

