; Map size	X = 10  Y = 9
; Page size	PX = 2  PY = 4
	db	032h,032h,032h,032h,00ch,00ch,032h,032h,032h,032h
	db	032h,032h,032h,032h,00ch,00ch,032h,032h,032h,032h
	db	032h,032h,032h,032h,00ch,00ch,032h,032h,032h,032h
	db	032h,00ch,00ch,00ch,00ch,022h,037h,037h,032h,032h
	db	032h,00ch,032h,032h,032h,032h,032h,037h,032h,032h
	db	032h,00ch,032h,032h,032h,032h,032h,037h,032h,032h
	db	032h,00ch,00ch,00ch,00ch,00ch,00ch,037h,032h,032h
	db	032h,032h,037h,032h,032h,032h,00ch,00ch,00ch,032h
	db	032h,032h,037h,032h,032h,032h,032h,032h,00ch,032h
	db	032h,032h,037h,032h,032h,032h,032h,032h,00ch,032h
	db	032h,032h,037h,032h,032h,032h,00ch,00ch,00ch,032h
	db	032h,032h,037h,032h,00ch,00ch,022h,032h,032h,032h
	db	032h,032h,037h,00ch,00ch,032h,032h,032h,032h,032h
	db	032h,032h,032h,00ch,032h,032h,032h,032h,032h,032h
	db	032h,032h,032h,00ch,032h,032h,032h,032h,032h,032h
	db	032h,032h,032h,00ch,00dh,032h,032h,032h,032h,032h
	db	032h,032h,032h,032h,00ch,032h,032h,032h,032h,032h
	db	032h,032h,032h,032h,00ch,032h,032h,032h,032h,032h

