	db	016h,012h,012h,012h,012h,012h,012h,012h	;0000
	db	012h,017h,010h,037h,037h,037h,037h,037h
	db	037h,037h,038h,011h,010h,037h,037h,018h	;0001
	db	018h,018h,037h,037h,037h,011h,010h,037h
	db	018h,019h,019h,019h,018h,037h,037h,011h	;0002
	db	010h,018h,019h,019h,019h,019h,019h,018h
	db	037h,011h,010h,018h,019h,01ah,01ah,01ah	;0003
	db	019h,018h,037h,011h,010h,019h,01ah,01ah
	db	038h,01ah,01ah,019h,037h,011h,010h,00ch	;0004
	db	00ch,00ch,00ch,00ch,00ch,00ch,00ch,011h
	db	010h,039h,039h,039h,039h,039h,039h,039h	;0005
	db	039h,011h
