; 05/29/98		20:07:53
_tanpan$:
	db	11,165,108,0			; 01
	db	14,5,0			; 02
	db	10,165,165,107,0			; 03
	db	14,165,108,107,0			; 04
	db	15,165,5,0			; 05
	db	17,37,0			; 06
	db	14,108,96,0			; 07
	db	21,3,0			; 08
	db	21,108,0			; 09
	db	19,96,107,0			; 10
	db	17,165,165,166,0			; 11
	db	18,3,167,0			; 12
	db	17,5,165,165,5,0			; 13
	db	24,96,0			; 14
_mushi$:
	db	07,123,123,0			; 01
	db	06,124,123,124,0			; 02
	db	10,123,0			; 03
	db	10,123,112,123,0			; 04
	db	09,112,113,123,124,0			; 05
	db	11,123,124,0			; 06
	db	11,112,113,0			; 07
	db	10,123,124,123,0			; 08
	db	14,123,112,0			; 09
	db	16,112,123,112,0			; 10
	db	20,125,0			; 11
	db	18,124,123,65,0			; 12
	db	19,114,114,0			; 13
	db	20,123,112,65,0			; 14
	db	08,123,124,0			; 15
_mini$:
	db	09,36,36,0			; 01
	db	10,165,3,0			; 02
	db	14,100,0			; 03
	db	31,109,109,46,0			; 04
	db	11,185,188,0			; 05
	db	14,4,0			; 06
	db	16,36,15,0			; 07
	db	14,36,15,0			; 08
	db	15,3,15,0			; 09
	db	13,185,36,185,0			; 10
	db	18,36,15,0			; 11
	db	20,100,0			; 12
	db	23,15,168,0			; 13
	db	24,77,77,77,0			; 14
	db	19,36,165,15,77,3,0			; 15
	db	22,4,4,0			; 16
	db	23,188,189,0			; 17
	db	23,185,186,0			; 18
	db	06,15,3,0			; 19
_sailor$:
	db	18,106,23,0			; 01
	db	17,106,24,0			; 02
	db	21,23,0			; 03
	db	17,92,23,24,0			; 04
	db	18,24,27,0			; 05
	db	17,92,92,92,0			; 06
	db	20,106,0			; 07
	db	24,173,0			; 08
_boysc$:
	db	09,59,96,0			; 01
	db	14,165,108,0			; 02
	db	18,57,0			; 03
	db	20,177,0			; 04
	db	16,5,166,0			; 05
	db	18,59,59,96,0			; 06
	db	21,33,176,0			; 07
	db	19,165,59,108,96,0			; 08
	db	29,3,167,0			; 09
	db	16,189,0			; 10
_girlsc$:
	db	19,157,0			; 01
	db	16,185,188,0			; 02
	db	16,36,36,36,0			; 03
	db	22,153,0			; 04
	db	18,185,188,185,188,0			; 05
	db	23,77,0			; 06
	db	20,100,4,0			; 07
	db	21,36,150,0			; 08
	db	21,100,36,77,0			; 09
	db	22,185,153,0			; 10
	db	24,153,9,0			; 11
	db	24,36,77,165,36,77,0			; 12
	db	30,71,71,0			; 13
	db	27,36,77,36,150,0			; 14
	db	28,157,71,92,0			; 15
	db	31,157,158,0			; 16
	db	22,188,4,0			; 17
	db	20,77,185,36,0			; 18
	db	19,36,165,165,188,0			; 19
	db	28,186,185,185,0			; 20
	db	29,36,150,0			; 21
	db	33,4,0			; 22
	db	29,188,185,30,0			; 23
	db	30,24,92,58,0			; 24
	db	20,17,0			; 25
_mania$:
	db	30,18,11,0			; 01
	db	20,17,37,0			; 02
	db	20,37,37,37,0			; 03
	db	22,176,17,0			; 04
	db	25,37,0			; 05
	db	40,178,19,11,0			; 06
	db	23,17,37,0			; 07
_science$:
	db	11,173,6,0			; 01
	db	12,13,6,55,0			; 02
	db	20,6,55,6,173,0			; 03
	db	22,13,136,13,0			; 04
	db	26,55,0			; 05
	db	22,55,173,143,0			; 06
	db	20,173,173,55,173,0			; 07
	db	24,173,6,0			; 08
	db	36,82,82,83,0			; 09
	db	34,163,176,82,33,0			; 10
	db	41,164,0			; 11
	db	37,33,82,0			; 12
_mount$:
	db	10,169,169,34,0			; 01
	db	15,106,169,0			; 02
	db	13,169,169,106,169,0			; 03
	db	17,34,0			; 04
	db	21,169,34,0			; 05
	db	20,169,106,169,0			; 06
	db	21,169,34,0			; 07
	db	19,34,39,0			; 08
	db	21,169,169,39,0			; 09
	db	25,169,0			; 10
	db	20,106,34,0			; 11
	db	19,169,106,169,169,0			; 12
	db	20,34,34,169,0			; 13
	db	21,169,39,0			; 14
_emperor$:
	db	28,55,55,55,0			; 01
	db	29,55,13,0			; 02
	db	25,55,55,143,55,13,0			; 03
	db	28,55,13,143,0			; 04
	db	29,13,55,0			; 05
	db	33,143,0			; 06
	db	26,13,13,13,13,0			; 07
	db	28,143,55,143,0			; 08
	db	33,136,0			; 09
	db	29,6,6,0			; 10
	db	29,143,136,0			; 11
	db	25,55,143,55,55,143,0			; 12
	db	26,55,55,13,55,0			; 13
	db	28,13,13,55,0			; 14
	db	29,55,136,0			; 15
_doro$:
	db	29,33,82,0			; 01
	db	33,33,0			; 02
	db	28,82,176,163,0			; 03
	db	36,33,82,83,0			; 04
	db	41,163,0			; 05
	db	37,82,33,0			; 06
	db	34,176,178,0			; 07
	db	38,83,0			; 08
	db	34,33,163,0			; 09
_national$:
	db	21,6,173,0			; 01
	db	21,173,0			; 02
	db	18,173,173,54,0			; 03
_jack$:
_fish$:
	db	17,157,24,157,0			; 01
	db	17,24,27,23,0			; 02
	db	22,157,71,157,0			; 03
	db	24,24,157,0			; 04
	db	27,157,0			; 05
	db	21,71,23,157,92,0			; 06
	db	28,158,157,158,158,0			; 07
	db	31,23,139,0			; 08
	db	27,133,133,133,133,133,133,0			; 09
	db	33,158,157,0			; 10
	db	24,133,133,0			; 11
_swimmer$:
	db	16,92,23,0			; 01
	db	30,24,23,0			; 02
	db	29,157,92,27,0			; 03
	db	30,71,110,0			; 04
	db	27,92,24,24,157,0			; 05
	db	29,157,23,158,0			; 06
	db	30,92,92,0			; 07
